idDrink,strDrink,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,Drink_ABV
14688,Freddy Kruger,Jägermeister,Sambuca,Vodka,,,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
14842,Midnight Mint,Baileys irish cream,White Creme de Menthe,Cream,,,,,,,,,,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
15026,Kiss me Quick,Cranberry vodka,Apfelkorn,Schweppes Russchian,Apple juice,Ice,,,,,,,,1.352,0.676,2.366,2.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
15086,Limona Corona,Corona,Bacardi Limon,,,,,,,,,,,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15184,San Francisco,Vodka,Creme de Banane,Grenadine,Orange juice,,,,,,,,,0.676,0.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
15226,Space Odyssey,151 proof rum,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherries,,,,,,,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
15403,Vodka Russian,Vodka,Schweppes Russchian,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
15743,Fuzzy Asshole,Coffee,Peach schnapps,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15849,Apricot punch,Apricot brandy,Champagne,Vodka,7-Up,Orange juice,,,,,,,,32.0,102.0,25.5,135.2,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
16998,Bruised Heart,Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
17015,Irish Russian,Vodka,Kahlua,Coca-Cola,Guinness stout,,,,,,,,,1.5,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
17060,24k nightmare,Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
17079,Baby Guinness,Kahlua,Baileys irish cream,,,,,,,,,,,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
17181,Dirty Martini,Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,,,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
17188,Mary Pickford,Light rum,Pineapple juice,Maraschino liqueur,Grenadine,Maraschino cherry,,,,,,,,1.5,1.0,0.334,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
17223,Abbey Martini,Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,,,,3.0,1.5,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
17242,Bombay Cassis,Gin,Creme de Cassis,Fresh Lime Juice,Ginger beer,Lime,Ginger,,,,,,,0.0,0.0,0.16899999999999998,0.16899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
17239,Hunter's Moon,Vermouth,Maraschino Cherry,Sugar Syrup,Lemonade,Blackberries,,,,,,,,0.16899999999999998,0.16899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
17245,Rosemary Blue,Gin,Blue Curacao,Tonic Water,Rosemary,,,,,,,,,0.0,0.16899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
17247,The Last Word,Green Chartreuse,Maraschino Liqueur,Lime Juice,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
178321,Amaretto fizz,Amaretto,Orange Juice,White Wine,Orange Peel,,,,,,,,,1.352,2.028,1.6900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
178325,Aperol Spritz,Aperol,Prosecco,Soda Water,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
178328,Funk and Soul,Rum,Apricot Nectar,Pomegranate juice,lemon,Soda Water,,,,,,,,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
178331,Bounty Hunter,Rum,Coconut Liqueur,Blueberries,Pineapple Juice,Prosecco,,,,,,,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
178348,Winter Paloma,Tequila,Grapefruit Juice,Lime Juice,Agave Syrup,Pepper,,,,,,,,3.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
17834,Abbey Cocktail,Gin,Orange bitters,Orange,Cherry,,,,,,,,,1.5,0.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
11019,Alfie Cocktail,Lemon vodka,Triple sec,Pineapple juice,,,,,,,,,,1.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
11118,Blue Margarita,Tequila,Blue Curacao,Lime juice,Salt,,,,,,,,,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
